Town,Total,White,Black / African American,American Indian / Alaska Native,Asian,Hispanic,Native Hawaiian / Pacific Islander,Some other race,Two or more races,Male,Female,Under 5 years,5 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over,Median Age,Population in Households,Population in Group Quarters,Total Lang,Speak only English,Speak some other language,"Speak English ""very well""","Speak English ""well""","Speak English ""not well""","Speak English ""not at all""",Total MF,Male,Female,Working,Drove Alone,Carpooled,Bus or Trolley Bus,Streetcar or Trolley Car,Subway or Elevated,Railroad,Ferryboat,Taxicab,Motorcycle,Bicycle,  Walked,Other Means,Worked at Home,Mean Travel Time to Work (min),Total households,Average household size,1 Person Household,2 Person Household,3 Person Household,4 Person Household,5 Person Household,6 Person Household,7+ Person Household,Average Vehicles per Household,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 vehicles available,5 or more vehicles available,Median household income ($),"Under 10,000","10,000 to 19,999","20,000 to 29,999","30,000 to 39,999","40,000 to 49,999","50,000 to 59,999","60,000 to 74,999","75,000 to 99,999","100,000 to 124,999","125,000 to 149,999","150,000 to 199,999","200,000 and up"
Amesbury,16283,15479,108,30,106,310,6,38,206,7871,8412,997,2648,1136,1848,2511,2957,2175,1010,1001,41,15982,301,15286,14311,975,696,222,57,0,13037,6238,6799,8882,6981,777,198,0,0,81,0,17,10,0,152,75,591,29.1,6642,2.41,1991,2112,1076,971,363,91,38,1.75,385,2342,2854,715,294,52,74968,246,575,409,462,465,433,734,1083,874,576,425,360
Athol,11584,10804,95,17,83,413,0,15,157,5696,5888,646,2004,995,1329,1525,1876,1446,836,927,41,11457,127,10938,10272,666,352,129,106,79,9169,4307,4862,5141,4143,505,36,0,0,41,0,0,0,0,130,39,247,26.4,4656,2.46,1323,1531,785,591,271,110,45,1.71,438,1609,1758,610,203,38,47099,298,555,531,592,526,380,570,632,316,75,71,110
Brookfield,3390,3265,10,3,7,44,0,0,61,1679,1711,177,559,226,323,480,583,500,336,206,44,3385,5,3213,3115,98,60,38,0,0,2760,1306,1454,1812,1549,130,0,0,0,0,0,0,0,0,69,0,64,30,1375,2.46,353,505,215,189,77,26,10,1.89,32,386,719,191,38,9,60189,0,148,142,114,90,191,137,291,133,42,64,23
Brookline,58732,43040,1828,42,9157,2964,12,187,1502,26454,32278,3209,7199,7873,12028,7696,6545,6688,3846,3648,34,56854,1878,55523,39048,16475,11081,3186,1769,439,48496,21861,26635,31878,12858,1841,1599,1885,5594,229,0,52,58,1135,4290,173,2164,28.3,25092,2.27,8389,8103,4062,3148,1037,254,99,1.15,5925,11636,5889,1168,345,129,95448,2118,1704,965,1214,1398,1466,1574,2594,2647,1995,2387,5030
Charlton,12981,12233,75,20,114,374,8,11,146,6378,6603,669,2593,929,1167,2057,2511,1530,727,798,41,12824,157,12312,11599,713,488,191,33,1,9502,4728,4774,6312,5645,275,14,0,0,14,0,0,28,0,28,59,249,30.5,4608,2.78,780,1589,839,901,350,93,56,2.1,129,954,2250,937,282,56,87758,107,311,126,150,309,412,469,936,829,435,331,193
Chelsea,35177,8882,2341,55,1052,21855,2,423,567,17898,17279,3073,5826,3946,6837,5432,4179,2809,1542,1533,32,34495,682,32104,10956,21148,8069,4746,4322,4011,26205,12822,13383,14766,7510,2033,1995,18,1385,0,0,29,0,76,1391,101,228,29.6,11831,2.92,3465,2688,1789,1617,1030,616,626,0.97,3799,5286,2240,405,49,52,40487,1533,1602,1505,1209,906,1087,1443,1325,532,273,269,147
Chicopee,55298,43938,1525,87,722,8196,22,95,713,26407,28891,3099,8366,5486,7428,6771,8169,7141,4257,4581,40,54143,1155,52199,40826,11373,6288,2723,1944,418,45037,21223,23814,24787,21385,1769,306,0,0,0,0,0,0,144,654,174,355,19.9,23739,2.28,8136,7582,3753,2638,1095,334,201,1.51,2673,10496,7567,1991,787,225,44226,2070,3745,2558,2558,2322,1977,2535,2970,1834,623,375,172
Clinton,13606,10884,341,25,180,1844,2,129,201,6648,6958,872,2090,1170,1857,1960,2264,1659,879,855,39,13542,64,12734,10646,2088,1480,291,250,67,10961,5314,5647,6999,5967,684,0,0,9,24,0,0,26,32,53,40,164,27.2,5831,2.32,1950,1822,923,706,298,82,50,1.7,468,2119,2321,653,165,105,58826,403,578,505,583,396,545,616,763,596,493,261,92
Dracut,29457,25965,691,32,1176,1149,3,96,345,14430,15027,1670,5127,2384,3561,4382,4951,3692,1944,1746,40,29445,12,27787,24122,3665,2826,585,232,22,23516,11638,11878,15928,14181,1097,30,0,0,206,0,0,13,28,137,40,196,29.2,10956,2.69,2446,3433,2015,1895,748,270,149,1.98,473,3328,4575,1493,704,383,70833,381,748,754,646,773,1080,1428,1825,1410,920,607,384
Franklin,31635,28926,416,23,1193,620,4,46,407,15501,16134,1929,7097,2551,2742,5047,5928,3364,1585,1392,39,30760,875,29706,26454,3252,2335,568,310,39,22957,11271,11686,15607,12352,855,30,11,44,989,26,0,0,45,168,40,1047,32.1,10995,2.8,2284,3088,2003,2322,956,233,109,1.92,374,3026,5313,1687,537,58,89330,523,368,705,571,546,627,962,1755,1546,934,1574,884
Goshen,1054,1022,3,3,3,12,0,0,11,513,541,59,157,67,82,155,202,186,100,46,46,1054,0,995,973,22,22,0,0,0,873,404,469,613,487,42,0,0,0,0,0,0,0,0,16,0,68,30.6,416,2.53,81,170,76,56,28,2,3,2.09,15,109,143,134,4,11,70625,6,35,31,23,32,34,53,133,16,14,24,15
Hancock,717,686,5,0,6,13,0,0,7,362,355,35,117,49,41,92,128,124,73,58,47,717,0,682,652,30,15,3,0,12,538,264,274,342,271,31,4,0,6,0,0,0,0,0,10,3,17,23.2,299,2.4,79,114,45,39,16,3,3,2.04,0,75,159,48,12,5,74205,5,23,21,14,13,30,47,66,48,7,18,7
Hatfield,3279,3168,22,3,16,47,0,4,19,1599,1680,120,452,183,281,425,597,622,323,276,48,3279,0,3159,3044,115,105,10,0,0,2773,1269,1504,1659,1480,85,11,0,0,0,0,0,0,9,26,15,33,22.2,1483,2.21,462,557,241,158,48,13,4,1.86,53,538,582,221,53,36,53939,147,145,115,148,144,111,139,193,123,89,71,58
Leicester,10970,9961,213,31,181,414,6,23,141,5355,5615,527,1945,1127,1132,1511,1823,1413,828,664,40,10629,341,10443,9418,1025,759,117,149,0,8927,4150,4777,5740,5060,427,30,0,0,8,0,0,12,0,110,10,83,28.3,4021,2.64,915,1327,689,664,292,90,44,1.93,207,1229,1556,766,205,58,70362,128,237,285,321,265,287,708,587,342,438,332,91
Littleton,8924,8239,46,6,350,121,0,12,150,4290,4634,516,1827,469,611,1360,1760,1136,647,598,43,8781,143,8408,7671,737,597,59,44,37,6661,3189,3472,4088,3541,202,0,0,46,45,0,0,0,0,29,30,195,29.1,3297,2.66,724,1042,603,605,224,75,24,1.94,192,793,1523,639,105,45,103616,135,289,100,193,121,88,191,419,554,364,493,350
Mendon,5839,5631,17,2,57,73,2,5,52,2924,2915,295,1336,363,360,883,1232,748,377,245,42,5823,16,5544,5202,342,290,30,22,0,4367,1984,2383,2863,2427,147,0,0,0,60,0,0,0,0,9,36,184,33.7,2022,2.88,307,648,375,453,175,49,15,2.2,40,425,859,539,115,44,102625,9,86,130,112,42,131,93,381,269,202,240,327
Monroe,121,115,0,0,3,3,0,0,0,62,59,5,18,17,10,14,23,13,13,8,42,121,0,116,92,24,19,5,0,0,100,48,52,61,51,0,0,0,0,0,0,0,0,0,10,0,0,41,57,2.12,20,20,8,8,1,0,0,1.45,8,26,12,10,2,-1,30833,0,18,9,10,0,8,13,0,0,0,0,-1
Natick,33006,28189,647,28,2375,994,9,176,588,15874,17132,2207,5644,1733,3898,5115,5561,4224,2325,2299,41,32652,354,30799,25783,5016,3398,1130,351,137,25776,12591,13185,17481,13696,989,92,17,140,1001,9,11,39,66,222,209,990,28.6,13406,2.44,3896,4223,2170,2114,759,189,55,1.72,713,4794,6017,1435,334,113,87568,415,846,580,807,828,849,1184,1928,1649,1294,1284,1742
New Ashford,228,214,2,0,3,1,0,0,8,120,108,7,39,7,22,28,42,47,23,13,47,228,0,221,215,6,4,2,0,0,206,117,89,116,98,14,0,0,0,0,0,0,0,0,2,2,0,28.4,95,2.4,20,42,17,8,7,1,0,2.06,7,15,51,16,0,6,69583,4,10,6,4,5,12,18,15,6,3,3,9
Norton,19031,17669,318,21,338,374,6,42,263,9191,9840,983,3402,2663,1721,2755,3251,2229,1213,814,38,17253,1778,18048,17120,928,567,188,139,34,14990,7140,7850,9265,7074,801,0,0,70,398,0,13,0,0,422,49,438,30.5,6416,2.69,1387,2039,1131,1175,481,149,54,1.91,258,1787,3010,1054,237,70,77786,230,450,410,374,426,497,687,922,801,636,663,320
Norwood,28602,23642,1392,41,1695,1227,5,184,416,13693,14909,1747,4096,1983,4177,3861,4330,3448,2206,2754,41,28207,395,26855,21514,5341,3099,1343,725,174,23267,11223,12044,1989,1373,210,20,0,0,0,51,0,0,44,189,29,73,27.5,11917,2.37,3730,3791,1961,1557,584,226,68,1.66,1027,4334,4856,1191,415,94,72472,363,751,994,635,954,981,1434,2091,1289,1133,796,496
Orleans,5890,5630,50,6,44,81,1,18,60,2775,3115,156,494,249,340,404,759,1144,1131,1213,60,5802,88,5734,5501,233,206,11,16,0,5422,2411,3011,903,652,21,11,0,0,6,0,0,0,0,30,0,183,23.4,2950,1.97,1107,1269,306,171,59,22,16,1.81,124,1131,1078,449,129,39,56313,68,383,299,258,261,294,269,404,196,108,231,179
Pittsfield,44737,38437,2214,77,550,2225,4,114,1116,21472,23265,2552,6934,3595,5303,5507,7099,5883,3593,4271,43,43553,1184,42185,38935,3250,2122,713,399,16,36470,16653,19817,316,249,50,0,0,0,0,0,0,0,0,4,0,13,17,19653,2.22,6947,6525,2946,2048,799,275,113,1.45,2555,8512,6449,1585,373,179,43188,2120,2650,2102,2206,1993,1609,2125,2132,1190,663,427,436
Randolph,32112,12553,11918,69,3989,2057,3,611,912,15406,16706,1849,5103,2893,4115,4395,5161,4278,2193,2125,40,31781,331,30263,19439,10824,6436,2397,1391,600,25608,11915,13693,2195,1341,82,0,0,0,78,0,0,0,24,398,0,272,32.7,11551,2.75,2833,3346,2101,1667,908,375,321,1.67,1321,3838,4327,1614,356,95,64607,681,1126,1000,923,827,814,1187,1895,1348,633,728,389
Rockland,17489,15879,431,22,192,348,5,308,304,8358,9131,1109,2849,1453,2172,2453,2856,2207,1199,1191,40,17261,228,16380,14745,1635,1199,210,184,42,13867,6412,7455,1205,793,73,8,0,15,7,20,0,0,20,41,11,217,30.8,6697,2.58,1780,2064,1144,1001,447,185,76,1.74,491,2083,3023,887,170,43,64512,186,487,496,719,554,679,912,956,927,311,372,98
Salisbury,8283,7884,35,18,97,128,1,14,106,4006,4277,366,1217,691,779,1071,1592,1307,762,498,45,8232,51,7917,7688,229,188,41,0,0,6805,3099,3706,6123,4604,350,12,0,91,367,0,0,0,0,210,13,476,26.8,3441,2.39,1030,1186,542,411,159,66,47,1.74,276,1130,1381,560,72,22,62917,203,384,229,273,301,276,444,435,297,275,206,118
Sandwich,20675,19817,70,44,244,274,5,34,187,9958,10717,938,4048,1476,1460,2549,3822,3143,1813,1426,45,20332,343,19737,18680,1057,911,50,96,0,15835,7583,8252,1061,858,75,0,0,0,2,0,0,9,6,10,3,98,27.6,7776,2.61,1657,2819,1290,1221,542,181,66,2.04,129,1947,3746,1491,397,66,83325,114,417,446,601,495,433,826,1445,999,913,604,483
Scituate,18133,17277,98,13,132,191,7,198,217,8689,9444,957,3603,992,1066,2423,3339,2639,1605,1509,45,17948,185,17176,16334,842,495,152,149,46,13861,6320,7541,1479,1262,81,0,0,0,0,0,0,0,14,23,18,81,37,6859,2.62,1675,2260,1068,1074,542,177,63,1.88,280,1949,3279,1040,273,38,86723,187,279,467,425,487,539,644,730,993,536,581,991
Sudbury,17659,15779,137,6,1040,350,6,52,289,8617,9042,999,4649,742,731,2482,3605,2296,1194,961,43,17454,205,16660,14490,2170,1684,325,142,19,12544,6154,6390,6431,5396,470,5,0,0,69,0,0,19,0,33,67,372,30.7,5771,3.02,684,1749,1079,1483,606,136,34,2.11,143,998,3159,1125,267,79,153295,145,116,142,210,89,169,320,508,426,691,964,1991
Tyringham,327,318,3,0,3,3,0,0,0,155,172,6,37,11,18,27,47,90,58,33,57,310,17,321,290,31,25,6,0,0,385,176,209,12325,9975,797,58,0,143,594,0,16,15,33,165,0,529,21.8,138,2.25,33,69,15,13,6,2,0,2.08,0,37,63,32,2,4,93750,2,5,3,18,9,10,11,17,17,18,3,25
